run_id,timestamp_utc,pdk_variant,ngspice_version,deck,corner,temp_c,supply_V,flavor,r_length_um,r_width_um,resistance_ohm,current_A,raw_ref
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,ppolyf_u,50,2,9125.6696,1.095810e-04,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,ppolyf_u_1k,50,2,27340.4072,3.657590e-05,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,ppolyf_u_2k,50,2,57773.4127,1.730900e-05,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,ppolyf_u_3k,50,2,86637.8451,1.154230e-05,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,nplus_u,50,2,1322.9841,7.558670e-04,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,pplus_u,50,2,4407.3832,2.268920e-04,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,npolyf_u,50,2,8802.1196,1.136090e-04,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-40,1.0,nwell,50,2,28975.1770,3.451230e-05,results/raw/20260731T145914Z/res/res_res_typical_-40.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-15,1.0,ppolyf_u,50,2,9086.6136,1.100520e-04,results/raw/20260731T145914Z/res/res_res_typical_-15.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-15,1.0,ppolyf_u_1k,50,2,26550.6227,3.766390e-05,results/raw/20260731T145914Z/res/res_res_typical_-15.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-15,1.0,ppolyf_u_2k,50,2,55121.3220,1.814180e-05,results/raw/20260731T145914Z/res/res_res_typical_-15.wrdata
20260731T145914Z,2026-07-31T14:59:14.457775+00:00,gf180mcuD,46,res_tc.spice,res_typical,-15,1.0,ppolyf_u_3k,50,2,82662.3903,1.209740e-05,results/raw/20260731T145914Z/res/res_res_typical_-15.wrdata
